Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,10u,
"C10, C11, C15, C16, C18, C22, C24, C28, C3, C30, C34, C36, C4, C40, C5, C6, C7, C8",0603,18,100n,
"C12, C13",0603,2,30p,
"C14, C17, C9",0603,3,1u,
"C19, C20, C25, C26, C31, C32, C37, C38",0603,8,10p,
"C21, C27, C33, C39",0603,4,470n,
"C23, C29, C35, C41",0603,4,47p,
"D1, D12, D13, D16, D4, D5, D8, D9",Osram_BPW34S-SMD,8,DNP,
"D10, D11, D14, D15, D2, D3, D6, D7",Osram_BPW34S-SMD_hole,8,BPW34-SMD,
"D17, D18",D_SOD-323,2,1N5819WS,
D19,0603,1,LED,
"D20, D21, D22, D23",D_MiniMELF,4,ZMM3V3-M,
J1,PinHeader_1x02_P2.54mm_castellation,1,DNP,
J2,AMPHENOL_10103592-0001LF,1,USB_B_Micro,
J3,PinSocket_1x02_P2.54mm_Vertical,1,DNP,
"J4, J5",PinHeader_1x03_P2.54mm_Vertical,2,DNP,
J6,PinHeader_1x06_P2.54mm_Vertical,1,DNP,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,DNP,
"R1, R10, R17, R18, R20, R25, R26, R28, R33, R34, R36, R41, R42, R44, R7",0603,15,10k,
"R11, R2, R3, R4, R5, R6",0603,6,1k,
R12,0603,1,100,
"R13, R16, R21, R24, R29, R32, R37, R40",0603,8,4k7,
"R14, R22, R30, R38",0603,4,15k,
"R15, R23, R31, R39",0603,4,47M,
"R19, R27, R35, R43",0603,4,1M,
"R8, R9",0603,2,27.4,
"SW1, SW2",C26638,2,C26638,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3_SOT223,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSS / FM25Q64-SOB-T-G,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
"U4, U5, U6, U7",SOIC-8_5.23x5.23mm_P1.27mm,4,LM358,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,
