Designator,Mid X,Mid Y,Rotation,Layer
C1,55.0,-53.475,90.0,top
C10,68.453,-77.864,270.0,top
C11,73.533,-71.6026,0.0,top
C12,60.325,-77.978,90.0,top
C13,65.3796,-77.8764,90.0,top
C14,73.787,-62.8142,90.0,top
C15,70.612,-77.851,270.0,top
C16,67.0306,-63.373,90.0,top
C17,74.549,-65.786,0.0,top
C18,90.932,-92.443,270.0,top
C19,100.4824,-88.011,270.0,top
C2,52.832,-66.421,180.0,top
C20,98.933,-88.011,90.0,top
C21,93.98,-92.443,270.0,top
C22,87.1982,-84.0486,90.0,top
C23,85.6742,-87.363,270.0,top
C24,89.8652,-61.468,270.0,top
C25,100.457,-57.8,270.0,top
C26,98.932,-57.8,90.0,top
C27,93.98,-61.468,270.0,top
C28,87.2,-53.086,90.0,top
C29,85.7,-56.4,270.0,top
C3,75.311,-62.8142,90.0,top
C30,89.916,-71.628,270.0,top
C31,100.4824,-67.9196,270.0,top
C32,98.933,-67.9196,90.0,top
C33,94.063,-71.628,270.0,top
C34,87.2236,-63.246,90.0,top
C35,85.6996,-66.535,270.0,top
C36,90.0938,-82.0674,270.0,top
C37,100.4824,-78.359,270.0,top
C38,98.933,-78.359,90.0,top
C39,94.063,-82.042,270.0,top
C4,74.549,-67.564,0.0,top
C40,87.1982,-73.66,90.0,top
C41,85.6742,-76.962,270.0,top
C5,61.582,-71.374,180.0,top
C6,68.58,-63.119,90.0,top
C7,67.0306,-58.928,90.0,top
C8,61.595,-66.929,180.0,top
C9,68.58,-58.928,90.0,top
D10,110.49,-68.072,270.0,top
D11,105.41,-77.216,90.0,top
D14,105.41,-68.072,270.0,top
D15,110.49,-85.852,270.0,top
D17,59.182,-51.943,0.0,top
D18,67.945,-55.499,270.0,top
D19,75.0316,-75.3364,180.0,top
D2,110.49,-59.69,90.0,top
D20,80.772,-85.5472,270.0,top
D21,80.8228,-57.0484,90.0,top
D22,85.8266,-69.2912,0.0,top
D23,80.8736,-75.184,270.0,top
D3,110.49,-77.216,90.0,top
D6,105.41,-59.69,90.0,top
D7,105.41,-85.852,270.0,top
J2,74.549,-50.0,180.0,top
R1,73.533,-73.66,180.0,top
R10,75.013,-77.0051,0.0,top
R11,66.9036,-77.8764,90.0,top
R12,76.835,-62.8142,90.0,top
R13,100.4824,-84.5,270.0,top
R14,98.933,-84.5058,90.0,top
R15,97.3582,-88.0364,90.0,top
R16,92.456,-92.443,270.0,top
R17,84.1502,-84.0486,90.0,top
R18,85.6742,-84.0486,270.0,top
R19,87.1982,-87.363,90.0,top
R2,56.515,-83.566,270.0,top
R20,84.1502,-87.363,270.0,top
R21,100.457,-54.371,270.0,top
R22,98.933,-54.371,90.0,top
R23,97.409,-57.8104,90.0,top
R24,92.456,-61.468,270.0,top
R25,84.152,-53.086,90.0,top
R26,85.676,-53.086,270.0,top
R27,87.224,-56.4,90.0,top
R28,84.176,-56.4,270.0,top
R29,100.4824,-64.516,270.0,top
R3,58.039,-83.566,270.0,top
R30,98.933,-64.516,90.0,top
R31,97.3836,-67.9196,90.0,top
R32,92.539,-71.628,270.0,top
R33,84.1756,-63.246,90.0,top
R34,85.6996,-63.246,270.0,top
R35,87.2236,-66.535,90.0,top
R36,84.1756,-66.535,90.0,top
R37,100.4824,-74.93,270.0,top
R38,98.933,-74.93,90.0,top
R39,97.3836,-78.359,90.0,top
R4,59.563,-83.566,270.0,top
R40,92.539,-82.042,270.0,top
R41,84.1502,-73.66,90.0,top
R42,85.6742,-73.66,270.0,top
R43,87.1982,-76.962,90.0,top
R44,84.1502,-76.962,270.0,top
R5,61.087,-83.566,270.0,top
R6,57.6834,-67.2846,0.0,top
R7,57.6834,-65.7241,180.0,top
R8,70.441,-62.8065,270.0,top
R9,71.965,-62.8065,270.0,top
SW1,54.277,-72.487,90.0,top
SW2,76.297,-82.979,180.0,top
U1,55.499,-60.071,180.0,top
U2,63.246,-59.436,270.0,top
U3,67.455,-70.3205,0.0,top
U4,92.329,-87.363,180.0,top
U5,92.329,-56.388,180.0,top
U6,92.412,-66.548,180.0,top
U7,92.412,-76.962,180.0,top
Y1,62.865,-78.105,90.0,top
